Subject,TrialNumber,Task,Stimulus,Image,ClickH_1,ClickH_2,ClickH_3,ClickH_4,ClickH_5,ClickH_6,ClickH_7,ClickH_8,ClickH_9,ClickH_10,ClickH_11,ClickV_1,ClickV_2,ClickV_3,ClickV_4,ClickV_5,ClickV_6,ClickV_7,ClickV_8,ClickV_9,ClickV_10,ClickV_11
9,40,FreeViewing,Blank,GREY\grey.ctx,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9,41,FreeViewing,Blank,GREY\grey.ctx,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9,42,FreeViewing,Natural,NATURAL\nat007.bmp,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9,43,Fixation,Puzzle,PUZZLE\puz009.bmp,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9,44,Fixation,Blank,GREY\grey.ctx,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9,45,FreeViewing,Natural,NATURAL\nat009.bmp,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9,46,FreeViewing,Waldo,WALDO\wal010.bmp,758,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,758,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9,47,Fixation,Natural,NATURAL\nat007.bmp,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9,48,FreeViewing,Puzzle,PUZZLE\puz006.bmp,119,126,113,203,428,242,NaN,NaN,NaN,NaN,NaN,119,126,113,203,428,242,NaN,NaN,NaN,NaN,NaN
9,49,FreeViewing,Blank,GREY\grey.ctx,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9,50,FreeViewing,Waldo,WALDO\wal008.bmp,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9,51,FreeViewing,Puzzle,PUZZLE\puz008.bmp,193,276,149,164,448,NaN,NaN,NaN,NaN,NaN,NaN,193,276,149,164,448,NaN,NaN,NaN,NaN,NaN,NaN
9,52,Fixation,Puzzle,PUZZLE\puz010.bmp,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9,53,Fixation,Blank,GREY\grey.ctx,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9,54,FreeViewing,Puzzle,PUZZLE\puz010.bmp,95,151,150,164,172,406,394,496,466,NaN,NaN,95,151,150,164,172,406,394,496,466,NaN,NaN
9,55,Fixation,Waldo,WALDO\wal010.bmp,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9,56,Fixation,Natural,NATURAL\nat010.bmp,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9,57,Fixation,Blank,GREY\grey.ctx,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9,58,FreeViewing,Blank,GREY\grey.ctx,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9,59,Fixation,Waldo,WALDO\wal006.bmp,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9,60,FreeViewing,Waldo,WALDO\wal006.bmp,871,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,871,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9,61,Fixation,Puzzle,PUZZLE\puz006.bmp,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9,62,Fixation,Natural,NATURAL\nat008.bmp,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9,63,FreeViewing,Natural,NATURAL\nat006.bmp,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9,64,FreeViewing,Puzzle,PUZZLE\puz009.bmp,165,164,149,298,448,NaN,NaN,NaN,NaN,NaN,NaN,165,164,149,298,448,NaN,NaN,NaN,NaN,NaN,NaN
9,65,FreeViewing,Puzzle,PUZZLE\puz007.bmp,472,344,178,144,322,359,152,422,495,214,NaN,472,344,178,144,322,359,152,422,495,214,NaN
9,66,FreeViewing,Blank,GREY\grey.ctx,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9,67,Fixation,Waldo,WALDO\wal008.bmp,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9,68,Fixation,Puzzle,PUZZLE\puz008.bmp,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9,69,FreeViewing,Natural,NATURAL\nat010.bmp,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9,70,FreeViewing,Waldo,WALDO\wal007.bmp,836,256,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,836,256,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9,71,FreeViewing,Natural,NATURAL\nat008.bmp,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9,72,FreeViewing,Waldo,WALDO\wal009.bmp,752,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,752,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9,73,Fixation,Blank,GREY\grey.ctx,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9,74,Fixation,Natural,NATURAL\nat006.bmp,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9,75,Fixation,Waldo,WALDO\wal007.bmp,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9,76,Fixation,Waldo,WALDO\wal009.bmp,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9,77,Fixation,Natural,NATURAL\nat009.bmp,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9,78,Fixation,Blank,GREY\grey.ctx,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9,79,Fixation,Puzzle,PUZZLE\puz007.bmp,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9,80,FreeViewing,Blank,GREY\grey.ctx,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9,81,FreeViewing,Blank,GREY\grey.ctx,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9,82,Fixation,Natural,NATURAL\nat002.bmp,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9,83,Fixation,Natural,NATURAL\nat004.bmp,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9,84,Fixation,Puzzle,PUZZLE\puz004.bmp,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9,85,FreeViewing,Blank,GREY\grey.ctx,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9,86,Fixation,Puzzle,PUZZLE\puz005.bmp,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9,87,FreeViewing,Waldo,WALDO\wal003.bmp,478,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,478,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9,88,FreeViewing,Natural,NATURAL\nat003.bmp,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9,89,FreeViewing,Puzzle,PUZZLE\puz004.bmp,207,290,467,359,384,465,132,NaN,NaN,NaN,NaN,207,290,467,359,384,465,132,NaN,NaN,NaN,NaN
9,90,Fixation,Waldo,WALDO\wal004.bmp,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9,91,Fixation,Waldo,WALDO\wal002.bmp,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9,92,FreeViewing,Puzzle,PUZZLE\puz001.bmp,316,391,420,107,221,251,NaN,NaN,NaN,NaN,NaN,316,391,420,107,221,251,NaN,NaN,NaN,NaN,NaN
9,93,FreeViewing,Blank,GREY\grey.ctx,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9,94,Fixation,Natural,NATURAL\nat005.bmp,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9,95,Fixation,Puzzle,PUZZLE\puz003.bmp,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9,96,Fixation,Natural,NATURAL\nat003.bmp,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9,97,Fixation,Puzzle,PUZZLE\puz001.bmp,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9,98,FreeViewing,Waldo,WALDO\wal001.bmp,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9,99,FreeViewing,Natural,NATURAL\nat002.bmp,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9,100,FreeViewing,Natural,NATURAL\nat001.bmp,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9,101,FreeViewing,Puzzle,PUZZLE\puz003.bmp,130,498,310,484,445,238,109,174,209,313,NaN,130,498,310,484,445,238,109,174,209,313,NaN
9,102,FreeViewing,Natural,NATURAL\nat004.bmp,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9,103,Fixation,Waldo,WALDO\wal005.bmp,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9,104,Fixation,Natural,NATURAL\nat001.bmp,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9,105,FreeViewing,Blank,GREY\grey.ctx,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9,106,FreeViewing,Waldo,WALDO\wal002.bmp,459,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,459,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9,107,FreeViewing,Puzzle,PUZZLE\puz002.bmp,88,71,165,389,433,493,507,NaN,NaN,NaN,NaN,88,71,165,389,433,493,507,NaN,NaN,NaN,NaN
9,108,FreeViewing,Natural,NATURAL\nat005.bmp,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9,109,Fixation,Blank,GREY\grey.ctx,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9,110,FreeViewing,Waldo,WALDO\wal005.bmp,111,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,111,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9,111,Fixation,Waldo,WALDO\wal003.bmp,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9,112,FreeViewing,Blank,GREY\grey.ctx,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9,113,Fixation,Waldo,WALDO\wal001.bmp,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9,114,FreeViewing,Waldo,WALDO\wal004.bmp,894,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,894,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9,115,Fixation,Blank,GREY\grey.ctx,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9,116,Fixation,Blank,GREY\grey.ctx,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9,117,Fixation,Puzzle,PUZZLE\puz002.bmp,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9,118,FreeViewing,Puzzle,PUZZLE\puz005.bmp,194,254,180,173,197,198,380,377,501,480,NaN,194,254,180,173,197,198,380,377,501,480,NaN
9,119,Fixation,Blank,GREY\grey.ctx,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9,120,Fixation,Blank,GREY\grey.ctx,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
19,1,Fixation,Natural,NATURAL\nat001.bmp,484,411,297,292,143,276,464,NaN,NaN,NaN,NaN,484,411,297,292,143,276,464,NaN,NaN,NaN,NaN
19,2,Fixation,Puzzle,PUZZLE\puz002.bmp,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
